134.67,366.99,3.72s,1527.59\nTransfer/sec:,"510.14KB\n"")",,,,,,,
236.81,640.62,3.61s,1532.04\nTransfer/sec:,"511.63KB\n"")",,,,,,,1.00E-03
50.94,131.51,1.95s,1532.68\nTransfer/sec:,"511.84KB\n"")",,,,,,,5.00E-02
32.79,10.05,62.46,1531.85\nTransfer/sec:,"511.57KB\n"")",,,,,,,
37.05,13.22,170.24,1526.59\nTransfer/sec:,"509.81KB\n"")",,,,,,,
49.97,128.86,1.80s,1531.80\nTransfer/sec:,"511.55KB\n"")",,,,,,,
45.97,99.62,1.69s,1531.96\nTransfer/sec:,"511.60KB\n"")",,,,,,,
41.47,86.58,913.92,1531.86\nTransfer/sec:,"511.57KB\n"")",,,,,,,
296.8,752.44,7.56s,1531.83\nTransfer/sec:,"511.56KB\n"")",,,,,,,
46.24,105.09,1.03s,1532.72\nTransfer/sec:,"511.86KB\n"")",,,,,,,
32.5,10.06,62.98,1531.85\nTransfer/sec:,"511.57KB\n"")",,,,,,,
266.04,691.08,7.69s,1527.90\nTransfer/sec:,"510.25KB\n"")",,,,,,,
89.09,242.55,1.84s,1531.05\nTransfer/sec:,"511.30KB\n"")",,,,,,,
51.76,141.54,1.73s,1537.56\nTransfer/sec:,"513.47KB\n"")",,,,,,,
48.68,106.63,987.14,1541.72\nTransfer/sec:,"514.86KB\n"")",,,,,,,
40.01,77.47,931.33,1544.75\nTransfer/sec:,"515.88KB\n"")",,,,,,,
36.45,53.12,921.09,1549.31\nTransfer/sec:,"517.40KB\n"")",,,,,,,
32.33,10.08,62.94,1551.62\nTransfer/sec:,"518.17KB\n"")",,,,,,,
32.1,10.05,67.33,1554.54\nTransfer/sec:,"519.14KB\n"")",,,,,,,
239.19,776.6,7.57s,1556.39\nTransfer/sec:,"519.76KB\n"")",,,,,,,
90.3,234.05,2.00s,1554.55\nTransfer/sec:,"519.15KB\n"")",,,,,,,
54.18,124.97,1.69s,1566.26\nTransfer/sec:,"523.06KB\n"")",,,,,,,
92.75,264.99,1.99s,1574.23\nTransfer/sec:,"525.72KB\n"")",,,,,,,
39.5,79.43,940.03,1580.08\nTransfer/sec:,"527.67KB\n"")",,,,,,,
39.02,15.53,160.9,1558.21\nTransfer/sec:,"520.37KB\n"")",,,,,,,
32.12,10.03,57.7,1590.09\nTransfer/sec:,"531.02KB\n"")",,,,,,,
33.92,34.81,1.18s,1593.90\nTransfer/sec:,"532.29KB\n"")",,,,,,,
40.29,78.1,956.42,1597.98\nTransfer/sec:,"533.65KB\n"")",,,,,,,
39.66,79.91,930.82,1597.95\nTransfer/sec:,"533.64KB\n"")",,,,,,,
130.2,402.04,3.85s,1596.05\nTransfer/sec:,"533.01KB\n"")",,,,,,,
91.23,338.63,3.39s,1597.93\nTransfer/sec:,"533.63KB\n"")",,,,,,,
41.95,77.74,1.03s,1602.70\nTransfer/sec:,"535.23KB\n"")",,,,,,,
38.89,15.88,177.02,1599.70\nTransfer/sec:,"534.23KB\n"")",,,,,,,
67.01,200.47,1.85s,1605.92\nTransfer/sec:,"536.30KB\n"")",,,,,,,
43.92,84.46,975.87,1602.81\nTransfer/sec:,"535.26KB\n"")",,,,,,,
139.73,486.4,7.06s,1613.69\nTransfer/sec:,"538.90KB\n"")",,,,,,,
82.8,237.85,1.88s,1611.63\nTransfer/sec:,"538.21KB\n"")",,,,,,,
59.13,133.7,1.74s,1612.80\nTransfer/sec:,"538.60KB\n"")",,,,,,,
32.03,10.92,282.62,1615.37\nTransfer/sec:,"539.46KB\n"")",,,,,,,
28.78,9.44,60,1620.55\nTransfer/sec:,"541.19KB\n"")",,,,,,,
188.09,583.72,3.47s,1620.56\nTransfer/sec:,"541.19KB\n"")",,,,,,,
62.49,152.08,1.78s,1623.50\nTransfer/sec:,"542.17KB\n"")",,,,,,,
234.03,795.1,7.20s,1622.68\nTransfer/sec:,"541.90KB\n"")",,,,,,,
75.29,224.64,1.85s,1620.59\nTransfer/sec:,"541.20KB\n"")",,,,,,,
30.17,16.33,855.55,1594.80\nTransfer/sec:,"532.59KB\n"")",,,,,,,
32.26,10.05,63.49,1617.68\nTransfer/sec:,"540.23KB\n"")",,,,,,,
35.61,13.17,187.65,1611.28\nTransfer/sec:,"538.09KB\n"")",,,,,,,
88.34,270.48,2.63s,1612.30\nTransfer/sec:,"538.43KB\n"")",,,,,,,
67.63,163.37,1.62s,1610.64\nTransfer/sec:,"537.88KB\n"")",,,,,,,
85.93,227.11,2.02s,1611.38\nTransfer/sec:,"538.13KB\n"")",,,,,,,
314.68,910.78,7.82s,1615.80\nTransfer/sec:,"539.60KB\n"")",,,,,,,
83.62,237.91,1.83s,1613.64\nTransfer/sec:,"538.88KB\n"")",,,,,,,
32.13,10.06,59.23,1609.86\nTransfer/sec:,"537.62KB\n"")",,,,,,,
96.33,378.54,7.43s,1604.85\nTransfer/sec:,"535.95KB\n"")",,,,,,,
94.58,267.39,3.29s,1594.15\nTransfer/sec:,"532.37KB\n"")",,,,,,,
309.77,760.13,3.92s,1598.13\nTransfer/sec:,"533.70KB\n"")",,,,,,,
62.28,152.2,1.89s,1594.97\nTransfer/sec:,"532.65KB\n"")",,,,,,,
40.46,80.91,983.55,1592.76\nTransfer/sec:,"531.91KB\n"")",,,,,,,
31.81,10.05,61.06,1591.05\nTransfer/sec:,"531.34KB\n"")",,,,,,,
35.45,12.79,186.62,1588.24\nTransfer/sec:,"530.40KB\n"")",,,,,,,
40.6,80.55,935.94,1591.99\nTransfer/sec:,"531.65KB\n"")",,,,,,,
50.16,111.43,985.6,1590.92\nTransfer/sec:,"531.29KB\n"")",,,,,,,
53.05,120.13,985.6,1590.97\nTransfer/sec:,"531.31KB\n"")",,,,,,,
62.56,147.34,1.96s,1584.98\nTransfer/sec:,"529.31KB\n"")",,,,,,,
43.14,88.41,923.65,1587.98\nTransfer/sec:,"530.31KB\n"")",,,,,,,
71.29,201.16,1.80s,1584.14\nTransfer/sec:,"529.03KB\n"")",,,,,,,
53.08,121.26,1.69s,1583.12\nTransfer/sec:,"528.69KB\n"")",,,,,,,
38.55,15.41,177.79,1576.94\nTransfer/sec:,"526.62KB\n"")",,,,,,,
77.81,228.5,1.82s,1578.09\nTransfer/sec:,"527.01KB\n"")",,,,,,,
51.55,118.23,1.75s,1581.18\nTransfer/sec:,"528.04KB\n"")",,,,,,,
278.46,682.99,3.91s,1581.23\nTransfer/sec:,"528.06KB\n"")",,,,,,,
52.86,117.16,978.43,1581.08\nTransfer/sec:,"528.01KB\n"")",,,,,,,
32.86,20.32,526.34,1580.79\nTransfer/sec:,"527.91KB\n"")",,,,,,,
192.59,569.49,3.47s,1581.22\nTransfer/sec:,"528.05KB\n"")",,,,,,,
52.39,110.2,1.03s,1585.07\nTransfer/sec:,"529.34KB\n"")",,,,,,,
196.34,620.96,7.18s,1584.14\nTransfer/sec:,"529.03KB\n"")",,,,,,,
102.41,375.63,3.42s,1583.14\nTransfer/sec:,"528.70KB\n"")",,,,,,,
72.48,222.13,1.98s,1580.90\nTransfer/sec:,"527.95KB\n"")",,,,,,,
36.52,13.65,195.71,1573.26\nTransfer/sec:,"525.40KB\n"")",,,,,,,
32.31,10.04,59.74,1578.20\nTransfer/sec:,"527.04KB\n"")",,,,,,,
43.8,98.8,1.74s,1576.16\nTransfer/sec:,"526.36KB\n"")",,,,,,,
254.36,740.53,7.69s,1575.39\nTransfer/sec:,"526.11KB\n"")",,,,,,,
83.15,340.84,7.20s,1574.23\nTransfer/sec:,"525.72KB\n"")",,,,,,,
181.01,623.34,7.44s,1566.30\nTransfer/sec:,"523.07KB\n"")",,,,,,,
28.9,9.44,62.85,1573.43\nTransfer/sec:,"525.45KB\n"")",,,,,,,
203.13,600.02,3.49s,1568.51\nTransfer/sec:,"523.81KB\n"")",,,,,,,
163.67,522.28,3.45s,1571.37\nTransfer/sec:,"524.76KB\n"")",,,,,,,
61.39,147.41,1.78s,1569.38\nTransfer/sec:,"524.10KB\n"")",,,,,,,
319.72,871.63,7.69s,1558.10\nTransfer/sec:,"520.33KB\n"")",,,,,,,
32.64,34.98,538.11,1564.58\nTransfer/sec:,"522.50KB\n"")",,,,,,,
32.21,10.03,59.3,1566.30\nTransfer/sec:,"523.07KB\n"")",,,,,,,
43.82,91.91,1.69s,1564.33\nTransfer/sec:,"522.41KB\n"")",,,,,,,
252.01,662.93,3.91s,1564.41\nTransfer/sec:,"522.44KB\n"")",,,,,,,
115.67,276.22,1.92s,1556.84\nTransfer/sec:,"519.91KB\n"")",,,,,,,
79.51,283.09,3.91s,1560.24\nTransfer/sec:,"521.05KB\n"")",,,,,,,
28.94,9.48,58.08,1560.55\nTransfer/sec:,"521.15KB\n"")",,,,,,,
48.42,94.51,1.69s,1554.95\nTransfer/sec:,"519.28KB\n"")",,,,,,,
60.58,131.49,1.69s,1554.58\nTransfer/sec:,"519.16KB\n"")",,,,,,,
68.53,190.54,1.81s,1558.44\nTransfer/sec:,"520.45KB\n"")",,,,,,,
137.59,454.56,7.18s,1553.50\nTransfer/sec:,"518.80KB\n"")",,,,,,,
58.59,133.5,1.03s,1555.37\nTransfer/sec:,"519.42KB\n"")",,,,,,,
32.71,27.22,491.52,1551.38\nTransfer/sec:,"518.09KB\n"")",,,,,,,
32.13,10.05,62.72,1547.55\nTransfer/sec:,"516.81KB\n"")",,,,,,,
32.18,10.02,58.14,1541.74\nTransfer/sec:,"514.87KB\n"")",,,,,,,
229.04,774.71,7.44s,1539.74\nTransfer/sec:,"514.20KB\n"")",,,,,,,
48.11,99.57,1.00s,1536.60\nTransfer/sec:,"513.15KB\n"")",,,,,,,
340.09,855.34,7.82s,1536.61\nTransfer/sec:,"513.15KB\n"")",,,,,,,
37.39,47.61,1.00s,1535.30\nTransfer/sec:,"512.72KB\n"")",,,,,,,
28.78,9.39,63.46,1541.88\nTransfer/sec:,"514.91KB\n"")",,,,,,,
49.61,104.98,1.69s,1540.70\nTransfer/sec:,"514.52KB\n"")",,,,,,,
43.01,83.99,977.92,1540.67\nTransfer/sec:,"514.51KB\n"")",,,,,,,
63.49,173.61,1.82s,1535.97\nTransfer/sec:,"512.94KB\n"")",,,,,,,
49.95,109.67,1.74s,1539.75\nTransfer/sec:,"514.20KB\n"")",,,,,,,
210.55,608.76,7.05s,1479.34\nTransfer/sec:,"494.03KB\n"")",,,,,,,
29.01,9.52,61.54,1537.76\nTransfer/sec:,"513.54KB\n"")",,,,,,,
38.01,39.65,1.40s,1529.87\nTransfer/sec:,"510.91KB\n"")",,,,,,,
50.86,113.35,1.04s,1532.91\nTransfer/sec:,"511.92KB\n"")",,,,,,,
78.21,231.83,1.85s,1524.26\nTransfer/sec:,"509.03KB\n"")",,,,,,,
41.1,80.71,939.01,1526.68\nTransfer/sec:,"509.84KB\n"")",,,,,,,
103.45,288.04,2.02s,1524.88\nTransfer/sec:,"509.24KB\n"")",,,,,,,
